username,tweet,waktu,likes,retweets,replies,tweet_link
𝐼𝓃𝓉𝒶𝓃,𝐼𝓃𝓉𝒶𝓃 𝐼𝓃𝓉𝒶𝓃 @dlsxks_0 · @ABIK134567890 Polusi  suara sama  udara  juga siiii. Asapnya ituloo bisa masuk rumah 1 1 1 12 12 12,31-12-2024 23:30,0,0,0,https://x.com/dlsxks_0/status/1874131055298699470
polusi jakarta terkini,polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others Merry Christmas and Happy New Year 2025... semoga  polusi udara  Jakarta selalu di awasi dgn samgat baik..  polusi udara  meningkat pasti ada asap. Kalau ada asap pasti ada bau nya. Perhatikan amati dan pelajari baunya bersumber dr mana. Dan lihat arah angin berasal dr mana untuk 1 1 1 1 1 1 85 85 85,31-12-2024 23:29,0,0,0,https://x.com/Polusi_udara78/status/1874130822112125266
Aqil.fig,"Aqil.fig Aqil.fig @aqil_______ · Sebelum ngaji, aku ga suka keramaian apalagi hal-hal kayak gini zzz  polusi udara  suara  1 1 1 111 111 111",31-12-2024 23:24,0,0,0,https://x.com/aqil_______/status/1874129511954211114
Sania Saraswati,"Sania Saraswati Sania Saraswati @madebysania · Masih gak habis pikir kenapa kembang api dpt dibeli secara bebas. Ditembak ke  udara  bikin  polusi  dr segi kualitas  udara , suara dan cahaya. Apalagi kalau dilakukan di daerah yg banyak binatang, mereka stres dengar dan lihat kembang api. 1 1 1 5 5 5 679 679 679",31-12-2024 23:05,0,0,0,https://x.com/madebysania/status/1874124651808645127
tinta putih,tinta putih tinta putih @FiqihIqbal2 · Sisi buruk Acara akhir tahun manusia adalah bakar petasan yg turut andil menyumbang  polusi udara  terbesar dalam satu malam yg sama di seluruh dunia. 28 28 28,31-12-2024 22:19,0,0,0,https://x.com/FiqihIqbal2/status/1874113114255614260
Fajar D. Raharja,"Fajar D. Raharja Fajar D. Raharja @FajarDwiRaharja · We listen and we don't judge : gak suka sama malam tahun baru karena pasti ramai, berisik, dan  polusi udara  akan memburuk dimana mana. Sebut saya Fajar ""pick me"" Dwi 1 1 1 2 2 2 55 55 55",31-12-2024 21:45,0,0,0,https://x.com/FajarDwiRaharja/status/1874104710392930679
Tekarok 007,Tekarok 007 Tekarok 007 @tekarok007 · @BG_Z_97 karena  polusi udara  disana sangat parah. 9 9 9,31-12-2024 21:32,0,0,0,https://x.com/tekarok007/status/1874101204403577031
pukiss,"pukiss pukiss @capeqnngantuk · Ironi ga sih kalo di malam pergantian tahun orang-orang malah 'ngeracunin' bumi, menyumbang karbon dr hasil bakar2, nyumbang zat2 berbahaya ( polusi ) dari sisa kembang api ke  udara , blm lg ada hewan yg kena, entah burung, kelelawar, dll 1 1 1 39 39 39",31-12-2024 20:38,0,0,0,https://x.com/capeqnngantuk/status/1874087818924061088
cha (ᓀ‸ᓂ),"cha (ᓀ‸ᓂ) cha (ᓀ‸ᓂ) @soarvxsky · PERKEBUNAN KELAPA SAWIT ITU BIKIN GERSANG!! Lo mau bikin Indonesia jadi simulasi neraka kah? Kebakaran hebat di hutan Sumatera dan Kalimatan apa gak jadi pembelajaran kah? Hewan yang kehilangan habitatnya,  polusi udara  yang gak udah udah, sekarang tuh hutan yg hijau jadi gersang! Asumsi Asumsi @asumsico · Presiden Prabowo Subianto mengusulkan agar ada perluasan lahan sawit di Indonesia di masa mendatang. Ia mengingatkan agar semua pihak tidak perlu mengkhawatirkan perluasan lahan sawit bakal menyebabkan penggundulan hutan alias deforestasi. 1 1 1 171 171 171",31-12-2024 17:55,0,0,0,https://x.com/soarvxsky/status/1874046668922093870
zena absen 36 ᡣ˶ᵔ ᵕ ᵔ˶𐭩,zena absen 36 ᡣ˶ᵔ ᵕ ᵔ˶𐭩 zena absen 36 ᡣ˶ᵔ ᵕ ᵔ˶𐭩 @wonuciledug · @wonuciledug iri bgt liat org org di komun itu kyk jalan sampe ribuan steps dg  udara  yG BAGUS tanpa  polusi 8 8 8,31-12-2024 17:42,0,0,0,https://x.com/wonuciledug/status/1874043339101851843
Bobby Nasution,"Bobby Nasution Bobby Nasution @bobbynasution_ · Sebagai bagian dari upaya mendorong penggunaan transportasi umum, mengurangi kemacetan, dan menekan  polusi udara , kebijakan one day no car kini sudah diwajibkan bagi seluruh PHL/ASN di lingkungan Pemko Medan setiap hari Selasa. #KolaborasiMedanBerkah #MedanBerkah Show more 5 5 5 3 3 3 23 23 23 898 898 898",31-12-2024 17:36,0,0,0,https://x.com/bobbynasution_/status/1874042031234039925
"karin, k/ia","karin, k/ia karin, k/ia @tidalatelier · @svellemore lah linkon  polusi udara 1 1 1 15 15 15",31-12-2024 16:09,0,0,0,https://x.com/tidalatelier/status/1874019933707002131
polusi jakarta terkini,polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others 2:45 data  polusi udara  Jakarta di siang terakhir di thn 2024...  1 1 1 1 1 1 24 24 24,31-12-2024 14:45,0,0,0,https://x.com/Polusi_udara78/status/1873998882826526999
omegalul,omegalul omegalul @enaknyagmnsyg · @univrs__ @txtforlooking and 2 others lahan tanahnya yg gk ada dan malah bisa makin panas lho. blm lg  polusi udara  dan air yg dpt ditimbulkan dr industri ini 2 2 2 1.6K 1.6K 1.6K,31-12-2024 14:28,0,0,0,https://x.com/enaknyagmnsyg/status/1873994745422504185
𝖲𝗃𝖺𝗁𝗋𝗂𝗋.,𝖲𝗃𝖺𝗁𝗋𝗂𝗋. 𝖲𝗃𝖺𝗁𝗋𝗂𝗋. @Sovereidn · @ashesbloods Distribusi oksigen untuk menopang kadar  polusi udara  semakin terhambat. Resistensi air saat musim penghujan—dengan potensi banjir dan tanah longsor—semakin minim. Sangat mengkhawatirkan. 1 1 1 123 123 123,31-12-2024 13:39,0,0,0,https://x.com/Sovereidn/status/1873982388491170144
Aca,Aca Aca @hanvbabv · Parody account @bawongwittacha Kadang emang lebih baik kena  polusi udara  luar daripada kena  polusi  pikiran 1 1 1 7 7 7,31-12-2024 12:40,0,0,0,https://x.com/hanvbabv/status/1873967402570191311
UglyLament,"UglyLament UglyLament @SyifaL7319 · Parody account Di desa bau asap bakaran sampah
Di kota kena  polusi udara 102 102 102",31-12-2024 11:26,0,0,0,https://x.com/SyifaL7319/status/1873948895312830505
sean,sean sean @bawongwittacha · @hanvbabv Sebenernya lebih ke pengen keluarnya aja sih Ca  pengen menghirup  udara  luar yang penuh  po lusi itu 1 1 1 8 8 8,31-12-2024 10:11,0,0,0,https://x.com/bawongwittacha/status/1873929876782387666
채연,채연 채연 @chaejeon · @younkbrian apa ga  polusi udara  pas meledak nanti  1 1 1 27 27 27,31-12-2024 09:27,0,0,0,https://x.com/chaejeon/status/1873918914020983034
Deathrockstar.club,"Deathrockstar.club Deathrockstar.club @deathrockstar · Beberapa orang pergi meninggalkan kita di tahun 2024.

Untuk semua yang masih tinggal, jaga kesehatan fisik dan mental. Selalu berikan waktu untuk rehat dan musik bagus.

Luangkan waktu bagi teman2 dan keluarga.

hirup  udara  segar.

kalau  udara  penuh  polusi , bikin lagu protes. 2 2 2 9 9 9 18 18 18 1.2K 1.2K 1.2K",31-12-2024 08:55,0,0,0,https://x.com/deathrockstar/status/1873910755357340026
Ichel 美逾,Ichel 美逾 Ichel 美逾 @IchelMiCiell · Parody account @deesdeesde Iaaa tp gk jg sih sis.. itu aku moto lg transit di stasiun Manggarai. Pemandangan nya lg cakep gk terlalu  polusi udara . Habis itu lanjutnya ke bogoy deh GIF 1 1 1 59 59 59,31-12-2024 08:05,0,0,0,https://x.com/IchelMiCiell/status/1873898133220188268
PROGRAM MAKAN SIANG BERPAJAK,"PROGRAM MAKAN SIANG BERPAJAK PROGRAM MAKAN SIANG BERPAJAK @MardaniJgMw · @ViafaAliph and and @BudiBukanIntel Udara  di Tangsel, terutama Serpong Utara, itu kotor banget + Langitnya putih kusam karena efek PLTU di Serang.

Listrik PLTU cuma bikin  polusi  tambah parah. Kalau mau subsidi kendaraan listrik, minimal adain dulu energi yang berkelanjutan 1 1 1 207 207 207",31-12-2024 07:53,0,0,0,https://x.com/MardaniJgMw/status/1873895179821994212
lalapan,lalapan lalapan @lalapanhamster · menghirup  udara  Semarang yang penuh  polusi 1 1 1 27 27 27,31-12-2024 06:32,0,0,0,https://x.com/lalapanhamster/status/1873874760175935739
