id,username,tweet,text_clean,waktu,tweet_link
126,nama suka-suka,"nama suka-suka nama suka-suka @cscsyaa · @ivanjayawan Wah terima kasih pak, baru sore tadi saya dan kawan-kawan berdiskusi mengenai kedalaman sumur dan  pencemaran air  tanah dari septictank, saya bingung menjelaskannya dan sekarang terbantu 1 1 1 105 105 105",nama sukasuka nama sukasuka  terima kasih sore kawankawan diskus dalam sumur cemar air tanah septictank bingung jelas bantu,31-10-2024 22:17,https://x.com/cscsyaa/status/1852006886805246389
129,MangaHypeOrg,"MangaHypeOrg MangaHypeOrg @ddhype_com · PJT 1 dan Inalum Bahas Kualitas dan Kuantitas  Air  Danau Toba: Saat ini, kualitas dan kualitas  air  Danau Toba tengah terancam oleh beban  pencemaran air , hingga peningkatan sampah domestik-pariwisata.  http:// 28 28 28",mangahypeorg mangahypeorg com  pjt inalum bahas kualitas kuantitas air danau toba kualitas kualitas air danau toba ancam beban cemar air tingkat sampah domestikpariwisata,30-10-2024 20:29,https://x.com/ddhype_com/status/1851617367085982070
132,Cince,"Cince Cince @menumpahkan · Parody account dulu iya pake aer keran, setelah kuliah apalagi dapet mata kuliah  pencemaran air  trus praktikum bikin laprak dabnya. Jadi selalu pake aer galon utk masak apapun itu.  https:// /convomf/status/1851202330475016657 … This post is unavailable. 63 63 63",cince cince  parody account iya pake aer keran kuliah dapet mata kuliah cemar air trus praktikum bikin laprak dab pake aer galon utk masak apa convomfstatus  this post is unavailable,29-10-2024 21:48,https://x.com/menumpahkan/status/1851274843888763358
137,syrup marjen,syrup marjen syrup marjen @cancheonboy · info joki makalah  pencemaran air  akibat besi deadline malam ini  #zonauang 5 5 5 3 3 3 79 79 79,syrup marjen syrup marjen  info joki makalah cemar air akibat besi deadline malam,25-10-2024 17:20,https://x.com/cancheonboy/status/1849757972106445148
144,Astro AWANI,"Astro AWANI Astro AWANI @501Awani · Pencemaran air  bawah tanah dan tanah  mencapai tahap kritikal, menimbulkan kebimbangan sama ada isu ini dapat ditangani tepat pada masanya. #AWANInews #AWANI745 astroawani.com astroawani.com Pembinaan semula Gaza mungkin ambil masa 80 tahun - PBB Pembinaan semula Gaza mungkin ambil masa 80 tahun - PBB Pencemaran air bawah tanah dan tanah mencapai tahap kritikal, menimbulkan kebimbangan sama ada isu ini dapat ditangani tepat pada masanya. Pencemaran air bawah tanah dan tanah mencapai tahap kritikal, menimbulkan kebimbangan sama ada isu ini dapat ditangani tepat pada masanya. 2 2 2 7 7 7 4.6K 4.6K 4.6K",astro awan astro awan  cemar air tanah tanah capai tahap kritikal timbul bimbang isu tangan masa astroawanicom astroawanicom bina gaza ambil pbb bina gaza ambil pbb cemar air tanah tanah capai tahap kritikal timbul bimbang isu tangan masa cemar air tanah tanah capai tahap kritikal timbul bimbang isu tangan masa k k k,19-10-2024 23:09,https://x.com/501Awani/status/1847671345821470764
145,Rintan 彡☆,"Rintan 彡☆ Rintan 彡☆ @Rainanotfunny · Funny words ever used in a sentence

[Hina Ai] dan [bikinnya susah]  Pemborosan energi sm  pencemaran air  buat cooling mesin kali ya yg susah  Kriptogarki Kriptogarki @kriptogarki · Masalahnya lo hina2 ai bro, bikinnya susah lo hina semau lo. Gue ga ketawa, dalam hati gue nangis kasian sama lo x.com/bajrul/status/… 6 6 6 129 129 129",rintan  rintan   funny words ever used in a sentence hina ai bikin susah boros energi sm cemar air cooling mesin kali ya yg susah kriptogarki kriptogarki  lo hina ai bro bikin susah lo hina mau lo gue ga ketawa hati gue nang kasi lo xcombajrulstatus,19-10-2024 16:25,https://x.com/Rainanotfunny/status/1847569796944318501
147,MEDIA DIGITAL JOHOR,"MEDIA DIGITAL JOHOR MEDIA DIGITAL JOHOR @MediaDigitalJhr · #Belanjawan2025  I Manfaat untuk Johor
Ikhtiar 26: Perlindungan Khazanah Alam 

Kerajaan Persekutuan bersetuju menaik taraf loji rawatan kumbahan serantau sedia ada dan membina rangkaian paip pembentungan di Sungai Kim Kim, Johor untuk mengekang  pencemaran air . - PM Anwar Ibrahim 1 1 1 211 211 211",media digital johor media digital johor  i manfaat johor ikhtiar lindung khazanah alam raja sekutu tuju naik taraf loji rawat kumbah rantau sedia bina rangkai paip pembentungan sungai kim kim johor ekang cemar air pm anwar ibrahim,18-10-2024 17:14,https://x.com/MediaDigitalJhr/status/1847219770774687871
148,Amani,"Amani Amani @AmaniLalaland · @jokowi Ketahanan pangan sulit terwujud  Pak  @jokowi Lihat saja
Pengrusakan hutan untuk tambang berdampak negatif pada ketahanan pangan dan akibatnya  menyebabkan  degradasi tanah,  pencemaran air  juga rusaknya keanekaragaman hayati

Tugas pemerintah  sbg penanggungjawab  pengelolaan Show more 5 5 5 914 914 914",aman aman  tahan pangan sulit wujud lihat rusa hutan tambang dampak negatif tahan pangan akibat sebab degradasi tanah cemar air rusak keanekaragaman hayati tugas perintah sbg penanggungjawab kelola show more,17-10-2024 07:59,https://x.com/AmaniLalaland/status/1846717558462074920
152,Negara Mafia !,"Negara Mafia ! Negara Mafia ! @MgmPtmgm · @tempodotco Ekspor Pasir laut sangat merugikan Negara !,  pencemaran air  laut yang membuat nelayan tambah menderita, tergerusnya pinggir pantai dan hilangnya pulau-pulau kecil 2 2 2 6 6 6 294 294 294",negara mafia negara mafia  ekspor pasir laut rugi negara cemar air laut nelayan derita gerus pinggir pantai hilang pulaupulau,11-10-2024 18:22,https://x.com/MgmPtmgm/status/1844700029694701727
153,Diky Rizal,Diky Rizal Diky Rizal @diky_rizall · Sistem irigasi baru membantu mengurangi dampak  pencemaran air .  #10TahunJokowiMemimpin 7 7 7,diky rizal diky rizal rizall  sistem irigasi bantu kurang dampak cemar air,10-10-2024 16:33,https://x.com/diky_rizall/status/1844310219314372838
158,VOA Indonesia,"VOA Indonesia VOA Indonesia @voaindonesia · Gedung Putih membuat aturan penghapusan pipa timah itu sebagai bagian utama dari rencananya untuk mengatasi kesenjangan rasial dan masalah lingkungan, setelah terjadi krisis  pencemaran air  dalam beberapa tahun terakhir. voaindonesia.com voaindonesia.com Atasi Krisis Pencemaran Air, Biden Umumkan Aturan untuk Mengganti Semua Pipa Timah di AS Atasi Krisis Pencemaran Air, Biden Umumkan Aturan untuk Mengganti Semua Pipa Timah di AS Pemerintahan Presiden Joe Biden menyelesaikan peraturan penting pada Selasa (8/10), yang mengharuskan perusahaan air minum untuk mengganti hampir semua pipa timah di AS yang terpasang selama 10 tahun... Pemerintahan Presiden Joe Biden menyelesaikan peraturan penting pada Selasa (8/10), yang mengharuskan perusahaan air minum untuk mengganti hampir semua pipa timah di AS yang terpasang selama 10 tahun... 243 243 243",voa indonesia voa indonesia  gedung putih atur hapus pipa timah utama rencana atas senjang rasial lingkung krisis cemar air voaindonesiacom voaindonesiacom atas krisis cemar air biden umum atur ganti pipa timah as atas krisis cemar air biden umum atur ganti pipa timah as perintah presiden joe biden selesai atur selasa harus usaha air minum ganti pipa timah as pasang perintah presiden joe biden selesai atur selasa harus usaha air minum ganti pipa timah as pasang,09-10-2024 15:00,https://x.com/voaindonesia/status/1843924380172333328
167,IWⒶNT,"IWⒶNT IWⒶNT @IWANttobeafckby · @jellypastaa Dan teritip ini bertujuan baik untuk mengurangi  pencemaran  lingkungan, sperti timbal atau logam berat pada  air . Dan teritip bisa menjadi indikator sehatnya ekosistem, jika konsentrasi timbal pada teritip tinggi berarti  pencemaran air  diarea tersebut juga tinggi 9 9 9",iw nt iw nt  teritip tuju kurang cemar lingkung sperti timbal logam berat air teritip indikator sehat ekosistem konsentrasi timbal teritip cemar air area,05-10-2024 02:14,https://x.com/IWANttobeafckby/status/1842282067138342961
175,Doyan Makan,"Doyan Makan Doyan Makan @DoyanMakanBet · @DoyanMakanBet Mengapa hal ini penting Pencemaran air  sebagian besar disebabkan oleh limpasan dari pertanian, halaman kota, dan bahkan tangki septik. Saat hujan, kelebihan fosfor, nitrogen, dan bahan kimia lainnya mengalir ke danau dan sungai. 1 1 1 5 5 5 69 69 69",doyan makan doyan makan  cemar air sebab limpas tani halaman kota tangki septik hujan lebih fosfor nitrogen bahan kimia alir danau sungai,01-10-2024 08:21,https://x.com/DoyanMakanBet/status/1840925065300623490
177,𝐞𝐜𝐡𝐚𝐚,"𝐞𝐜𝐡𝐚𝐚 𝐞𝐜𝐡𝐚𝐚 @9umincha · @lalavinly benar, kenapa kita harus mandi?? aku pun tidak ingin mandi, mandi membuat  pencemaran air  karna sabun dan mengurangi  air  bersih dibumi, kita juga tidak menjadi  cantik dengan mandi, lalu untuk apa kita mandi?? 15 15 15",   mandi mandi mandi cemar air karna sabun kurang air bersih bumi cantik mandi mandi,30-09-2024 18:58,https://x.com/9umincha/status/1840722815475130741
185,Forum Juara,"Forum Juara Forum Juara @forum_juara · @forum_juara Di Indonesia, krisis  air  bersih juga menjadi problematika tak kunjung selesai, terutama disebabkan oleh beberapa hal seperti buruknya pengelolaan SDA,  pencemaran air , eksploitasi  air  tanah (termasuk oleh industri  air  minum), deforestasi, alih fungsi lahan.  #forumjuara 1 1 1 8 8 8",forum juara forum juara juara  juara indonesia krisis air bersih problematika kunjung selesai sebab buruk kelola sda cemar air eksploitasi air tanah industri air minum deforestasi alih fungsi lahan,29-09-2024 09:51,https://x.com/forum_juara/status/1840222902823858548
